"","state","week_end","delay.adj.count.lcl","delay.adj.count.med","delay.adj.count.ucl"
"272","OH","2020-04-25",2774.81198110647,2834.01451774705,2906.25853072298
"273","OK","2020-03-07",794.576046959487,797.0597530572,800.02984590707
"274","OK","2020-03-14",783.473109615123,786.327483808194,789.825582458899
"275","OK","2020-03-21",814.723014081492,818.050202970433,822.200962060909
"276","OK","2020-03-28",841.636899776058,845.710573443259,850.381938759167
"277","OK","2020-04-04",762.771784793732,766.93547961944,772.092456242915
"278","OK","2020-04-11",838.769703892052,844.47326672317,850.830119422266
"279","OK","2020-04-18",775.135990807139,781.664855821237,789.049776296291
"280","OK","2020-04-25",689.17438549239,697.862702902804,707.146623789191
"281","OR","2020-03-07",784.651975807073,786.146755510125,788.249362112112
"282","OR","2020-03-14",739.19249460542,740.555583780779,742.185565486527
"283","OR","2020-03-21",763.19061263054,764.53976250021,766.490546503693
"284","OR","2020-03-28",757.390015852556,759.309246440225,761.654258855342
"285","OR","2020-04-04",766.283267595965,768.800637012373,771.502155840849
"286","OR","2020-04-11",763.455338682903,766.725054262418,770.445224449307
"287","OR","2020-04-18",716.423657982049,721.142876940646,725.915704757888
"288","OR","2020-04-25",721.875582195845,730.147672212657,737.380883727706
"289","PA","2020-03-07",1955.60152865265,1961.91997508776,1972.26202437711
"290","PA","2020-03-14",2086.70812695436,2098.01006522938,2114.77772297408
"291","PA","2020-03-21",2226.59772476813,2243.22766099403,2266.16144940544
"292","PA","2020-03-28",2605.25107014648,2625.94146527302,2655.76100173322
"293","PA","2020-04-04",2887.69262886141,2912.73690907507,2947.01177593972
"294","PA","2020-04-11",3339.4771034746,3371.84394784164,3414.78048917506
"295","PA","2020-04-18",3534.49622997967,3574.08224477839,3621.58865704138
"296","PA","2020-04-25",3234.13123238046,3275.49812479345,3327.09521564207
"297","RI","2020-03-07",249.220307349625,250.407891556425,252.131427086189
"298","RI","2020-03-14",193.63585440854,194.815565236181,196.439652373856
"299","RI","2020-03-21",210.244244058944,211.76757798071,213.791153249622
"300","RI","2020-03-28",183.712607974609,185.226464077105,187.117864718918
"301","RI","2020-04-04",222.775479839919,225.222802260173,228.135511398655
"302","RI","2020-04-11",221.549063839869,225.222532329526,229.288151426283
"303","RI","2020-04-18",253.504099365053,259.098018195708,265.068494202313
"304","RI","2020-04-25",221.478873035573,228.199373327667,236.205877294154
"305","SC","2020-03-07",1137.19340035051,1139.59639295297,1142.33754876149
"306","SC","2020-03-14",1109.7577319017,1112.22956120025,1115.49185266147
"307","SC","2020-03-21",1081.0649986798,1084.59173279092,1088.81936477188
"308","SC","2020-03-28",1050.83679881722,1055.33322510942,1060.5943856327
"309","SC","2020-04-04",1071.46077095,1076.5954653504,1082.76357021337
"310","SC","2020-04-11",1158.25495090243,1164.10087797196,1171.73458563875
"311","SC","2020-04-18",1067.75084328111,1073.81833820668,1081.5443676023
"312","SC","2020-04-25",1011.4283341695,1018.20040025262,1026.58730472593
"313","SD","2020-03-07",193.303705517535,194.289573480068,195.648587813887
"314","SD","2020-03-14",167.273343584541,168.161968413751,169.270917720159
"315","SD","2020-03-21",161.285149746652,162.136494573162,163.187145302027
"316","SD","2020-03-28",145.722584762181,146.725447114598,147.798797803283
"317","SD","2020-04-04",168.169397232921,169.439680654141,170.712077141748
"318","SD","2020-04-11",147.63204122929,148.834230620142,150.491044220654
"319","SD","2020-04-18",152.706682951652,154.225042242768,156.124917074278
"320","SD","2020-04-25",166.422838109595,169.071036241666,171.934471272245
"321","TN","2020-03-07",1608.41307604565,1610.79365439744,1613.19430655471
"322","TN","2020-03-14",1587.51380829816,1589.93250429754,1592.56327260235
"323","TN","2020-03-21",1520.47302592984,1523.32729377431,1525.91165765781
"324","TN","2020-03-28",1514.7808220823,1517.97760157474,1520.90734735341
"325","TN","2020-04-04",1564.21673912053,1568.32843525613,1572.41851184884
"326","TN","2020-04-11",1500.66221587786,1505.27704059649,1509.86244073616
"327","TN","2020-04-18",1542.77523255582,1548.44087248846,1554.34099725759
"328","TN","2020-04-25",1452.43420977058,1458.64037563174,1465.9690677537
"329","TX","2020-03-07",4164.37252878052,4168.01839052945,4172.32120260641
"330","TX","2020-03-14",4147.64931685998,4151.9423141705,4157.27284687464
"331","TX","2020-03-21",4233.39269118629,4239.02644290452,4245.64570989981
"332","TX","2020-03-28",4249.84108076587,4257.03147107247,4265.53563958118
"333","TX","2020-04-04",4158.74453575068,4167.22021860223,4176.82570313027
"334","TX","2020-04-11",4242.44997927601,4252.90565033629,4264.94527917039
